Centre Name,Total,Aggregate,
0252-SHASTRI NAGAR - 01,2,0.00014751,
0077-LIMBONI BAUG-11,7,0.0005163,
0161-KHORA-F,1,0.00007376,
0267-KOLIWADA -1,1,0.00007376,
0144-NAVRE PARK-01,1,0.00007376,
0170-BICHPADI A,1,0.00007376,
0193-DAHA CHAWL-8,5,0.00036879,
0333-GONDI-01,7,0.0005163,
0028-KHADEGAOVALI-1,5,0.00036879,
0171-ATIGARE 03,2,0.00014751,
0122-PRAKASH NAGAR 01,4,0.00029503,
0357-MANGAON 04,2,0.00014751,
0046-AMBEWADI - 2,2,0.00014751,
0346-MADHAV NAGAR-34,5,0.00036879,
0231-TUPARI 07,9,0.00066381,
0473-LAXMIPURA-3,12,0.00088509,
0238-MANI NAGAR,2,0.00014751,
0417-SAMRAT ASHOK NAGAR-17,2,0.00014751,
0356-PITHAI SIM VISTAR,10,0.00073757,
0236-AKASH COLONY-2,5,0.00036879,
0107-SAWANT PLOT 01,9,0.00066381,
0350-KUNDALWADI-01,4,0.00029503,
0459-BHANAPURA-3,1,0.00007376,
0102-HANUMAN GALLI-05,2,0.00014751,
0334-HANUMAN GALLI-06,1,0.00007376,
0393-DHARAM NAGAR,1,0.00007376,
0186-VANKAR WAS VATVA,1,0.00007376,
0045-WARNALI 05,10,0.00073757,
0055-MARUL HAVELI-01,15,0.00110636,
0303-VASANT RAJAB-2,3,0.00022127,
0064-KANOD-4,3,0.00022127,
0242-SONAPUR-07,7,0.0005163,
0248-RINCHHIYA-8,13,0.00095884,
0216-PETH 04,5,0.00036879,
0164-NESH,1,0.00007376,
0202-D-SECTOR-11,3,0.00022127,
0189-NAVAPURA SANALI-4,8,0.00059006,
0176-HADCO COLONY-04,1,0.00007376,
0223-BHANAPURA-1,1,0.00007376,
0270-MADHAV NAGAR 11,6,0.00044254,
0300-RAM NAGAR SOC,2,0.00014751,
0493-ASHRAVI PARK VASTRAL,1,0.00007376,
0107-ASALPUR-C,1,0.00007376,
0034-SANGLI 07,7,0.0005163,
0348-JAWAHAR CHOWK-2,2,0.00014751,
0323-SN HARI MASJID-20,7,0.0005163,
0222-VASAGADE-06,4,0.00029503,
0021-KARAD-06,10,0.00073757,
0026-TATA NAGAR-01,7,0.0005163,
0136-SARNOBATWADI 01,4,0.00029503,
0149-HADKO COLONY 01,2,0.00014751,
0523-HOUSING BOARD- 36,2,0.00014751,
0252-ROJAWADI-02,6,0.00044254,
0095-BHUYEVADI 01,9,0.00066381,
0398-SHIV SHAKTI SOC DANIL,7,0.0005163,
0050-JULEWADI 03,1,0.00007376,
0268-PMGP COLONY - 06,2,0.00014751,
0384-CHAMUNDA NAGAR-2,2,0.00014751,
0297-PRATAP NAGAR-07,1,0.00007376,
0341-BIRLA COLLEGE 7,5,0.00036879,
0474-BHASKAR NAGAR-20,4,0.00029503,
0090-RETHARE HANAKSHA 01,1,0.00007376,
0225-SHANIVAR PETH 05,5,0.00036879,
0281-KURUNDWAD 17,9,0.00066381,
0387-CHEHAR NAGAR,2,0.00014751,
0436-METAL NAGAR-11,1,0.00007376,
0247-NAVA MUVADA RAVALIYA,16,0.00118012,
0111-PHULERA-F,1,0.00007376,
0277-SURYA NAGAR -02,1,0.00007376,
0175-KANNAMWAR NAGAR 1,1,0.00007376,
0267-DHARANGUTI 02,1,0.00007376,
0013-HIGNOLE-02,9,0.00066381,
0343-DELOL-8,1,0.00007376,
0277-SONAPUR - 08,7,0.0005163,
